# 入力読み	許容するakaza出力	corpus期待値	理由
# このファイルに記載されたパターンは、evaluate の BAD カウントから除外される。
# 注意: Wikipedia由来の珍語（艦級等）が正解になるケースは accept に入れないこと。
あいしてもいいことはない	愛してもいいことはない	愛しても良い事は無い	style:無い→ない,良い→いい,事→こと
いぬようはないですからねえ。	犬用はないですからねえ。	犬用は無いですからねえ。	style:無い→ない
いのちにべつじょうはない	命に別状はない	命に別状は無い	style:無い→ない
いまのところはすべてかいてありますけど、	今のところは全て書いてありますけど、	今の所は全て書いてありますけど、	style:other
いままできいたことないさっきょくかを	今まで聞いたことない作曲家を	今まで聞いたこと無い作曲家を	style:無い→ない
いままでみたことのないおおきさのものをみた	今まで見たことのない大きさのものを見た	今まで見たことのない大きさの物を見た	style:物→もの
いらすとがいいところばかりでとてもよかったのがいんしょうてきです	イラストがいいところばかりでとても良かったのが印象的です	イラストがいいところばかりでとてもよかったのが印象的です	style:良かった→よかった
いれかえたほうが	入れ替えたほうが	入れ替えた方が	style:方→ほう
いろいろしこんでおく	いろいろ仕込んでおく	色々仕込んでおく	style:色々→いろいろ
いろいろためしたところ、	いろいろ試したところ、	色々試したところ、	style:色々→いろいろ
いろいろとようきゅうがあるので	いろいろと要求があるので	色々と要求があるので	style:色々→いろいろ
いろんなものをつくっているようです	いろんなものを作っているようです	いろんな物を作っているようです	style:物→もの
いろんはないですよね。	異論はないですよね。	異論は無いですよね。	style:無い→ない
うすがたてれびさえもおくばしょがないな	薄型テレビさえも置く場所がないな	薄型テレビさえも置く場所が無いな	style:無い→ない
うすがたてれびをかったが、おくばしょがないのがこまりどころだ	薄型テレビを買ったが、置く場所がないのが困りどころだ	薄型テレビを買ったが、置く場所が無いのが困りどころだ	style:無い→ない
うみのものともやまのものともつかない	海のものとも山のものともつかない	海の物とも山の物ともつかない	style:物→もの
えいきょうりょくはないだろ。	影響力はないだろ。	影響力は無いだろ。	style:無い→ない
えんぎのあるぶたいであれば、かしゅはいろいろとうごくわけですが、	演技のある舞台であれば、歌手はいろいろと動くわけですが、	演技のある舞台であれば、歌手は色々と動くわけですが、	style:色々→いろいろ
おくばしょがない	置く場所がない	置く場所が無い	style:無い→ない
おくばにものがはさまる	奥歯にものが挟まる	奥歯に物が挟まる	style:物→もの
おしとおしたほうがいいのか	押し通したほうがいいのか	押し通した方がいいのか	style:方→ほう
おどされてのことだった	脅されてのことだった	脅されての事だった	style:事→こと
おなじもの	同じもの	同じ物	style:物→もの
おりるほうがあっとうてきにらくだ	降りるほうが圧倒的に楽だ	降りる方が圧倒的に楽だ	style:方→ほう
かいはつがよういなことから	開発が容易なことから	開発が容易な事から	style:事→こと
かいはつちゅうのものにあんいにてをださないようにする	開発中のものに安易に手を出さないようにする	開発中の物に安易に手を出さないようにする	style:物→もの
かうつもりはさらさらないので、	買うつもりはさらさらないので、	買うつもりはさらさら無いので、	style:無い→ない
かえりのでんしゃのなかでいろいろとおしえてもらった	帰りの電車の中で色々と教えてもらった	帰りの電車の中でいろいろと教えてもらった	style:other
かえれないところだった	帰れないところだった	帰れない所だった	style:other
かがくてきなこんきょはない	科学的な根拠はない	科学的な根拠は無い	style:無い→ない
かこのことはもうわすれて、	過去のことはもう忘れて、	過去の事はもう忘れて、	style:事→こと
かざりけのない	飾り気のない	飾り気の無い	style:無い→ない
かねとってもなっとくするようなもの	金取っても納得するようなもの	金取っても納得するような物	style:物→もの
かろんずることがないように	軽んずることがないように	軽んずることが無いように	style:無い→ない
がいこうほうしんにてんかんはない	外交方針に転換はない	外交方針に転換は無い	style:無い→ない
がっこうではない	学校ではない	学校では無い	style:無い→ない
がんばってほしいところである	頑張ってほしいところである	頑張ってほしい所である	style:other
きいたことないけど	聞いたことないけど	聞いたこと無いけど	style:無い→ない
きいてみたいところです。	聞いてみたいところです。	聞いてみたい所です。	style:other
きかくしてはどうでしょうか？	企画してはどうでしょうか？	企画してはどうでしょうか?	punctuation_style
きかくものっぽいです。	企画ものっぽいです。	企画物っぽいです。	style:物→もの
きどうするのがおそいだけだということがわかった	起動するのが遅いだけだということがわかった	起動するのが遅いだけだということが分かった	style:分かる→わかる
きになるところだが	気になるところだが	気になる所だが	style:other
きのうならよかった	昨日ならよかった	昨日なら良かった	style:良かった→よかった
きのうよりいいてんき	昨日よりいい天気	昨日より良い天気	style:良い→いい
きゃすともよかったですね	キャストも良かったですね	キャストもよかったですね	style:良かった→よかった
きょうはいいてんきですね	今日はいい天気ですね	今日は良い天気ですね	style:良い→いい
きょねんのものにたいしてです。	去年のものに対してです。	去年の物に対してです。	style:物→もの
きりわけたほうがよいですね。	切り分けたほうが良いですね。	切り分けた方が良いですね。	style:方→ほう
きんきゅうどがたかいもの	緊急度が高いもの	緊急度が高い物	style:物→もの
きんきゅうどのひくいもの	緊急度の低いもの	緊急度の低い物	style:物→もの
きんようびのしんやだから？	金曜日の深夜だから？	金曜日の深夜だから?	punctuation_style
ぎわくにかんしてしゃくめいするよていはない	疑惑に関して釈明する予定はない	疑惑に関して釈明する予定は無い	style:無い→ない
ぎんえんかめらはしゅみのひとのためのものになってしまった。	銀塩カメラは趣味の人のためのものになってしまった。	銀塩カメラは趣味の人のための物になってしまった。	style:物→もの
くったくのないひょうじょう	屈託のない表情	屈託の無い表情	style:無い→ない
くもひとつないえんてんかで	雲一つない炎天下で	雲一つ無い炎天下で	style:無い→ない
くるまにつんだほうがいいとおもう	車に積んだほうがいいと思う	車に積んだ方がいいと思う	style:方→ほう
けっきょくどれにでるのでしょうか？	結局どれに出るのでしょうか？	結局どれに出るのでしょうか?	punctuation_style
けっしてそんなことはないとおもいます	決してそんなことはないと思います	決してそんなことは無いと思います	style:無い→ない
げんいんがわかったので	原因が分かったので	原因がわかったので	style:分かる→わかる
げんさくとでざいんのふんいきがちがいすぎてよくわからない	原作とデザインの雰囲気が違いすぎてよくわからない	原作とデザインの雰囲気が違いすぎてよく分からない	style:分かる→わかる
こうかいきかんがあるので、あせってみるひつようはないですが。	公開期間があるので、焦って見る必要はないですが。	公開期間があるので、焦って見る必要は無いですが。	style:無い→ない
こうかんがえればいい	こう考えればいい	こう考えれば良い	style:良い→いい
こうかんがえればいい	こう考えればいい	こう考えれば良い	style:良い→いい
こうせいにはへんこうないとのことです	構成には変更ないとのことです	構成には変更無いとのことです	style:無い→ない
こころがけたほうが	心がけたほうが	心がけた方が	style:方→ほう
こだわりはない	こだわりはない	こだわりは無い	style:無い→ない
こっちではなんかかうかも	こっちではなんか買うかも	こっちでは何か買うかも	style:other
ことここにいたっては	ことここに至っては	事ここに至っては	style:事→こと
このいぬはよくなきますか？	この犬はよく鳴きますか？	この犬はよく鳴きますか?	punctuation_style
このこはかなしくてないているのですか？	この子は悲しくて泣いているのですか？	この子は悲しくて泣いているのですか?	punctuation_style
このじしんによるつなみのしんぱいはない	この地震による津波の心配はない	この地震による津波の心配は無い	style:無い→ない
このすずむしはよくなきますか？	この鈴虫はよく鳴きますか？	この鈴虫はよく鳴きますか?	punctuation_style
このとりはよくなきますか？	この鳥はよく鳴きますか？	この鳥はよく鳴きますか?	punctuation_style
このねこはよくなきますか？	この猫はよく鳴きますか？	この猫はよく鳴きますか?	punctuation_style
このはなしは、これでおしまい。	この話は、これでおしまい。	この話は,これでおしまい。	punctuation_style
このひときょねんもおうぼしてませんでしたっけ？	この人去年も応募してませんでしたっけ？	この人去年も応募してませんでしたっけ?	punctuation_style
このへやにしゅうのうはありますか？	この部屋に収納はありますか？	この部屋に収納はありますか?	punctuation_style
これでいいのかしらんけどな	これでいいのか知らんけどな	これで良いのか知らんけどな	style:良い→いい
これでいいのかどうかしりませんが	これでいいのかどうか知りませんが	これで良いのかどうか知りませんが	style:良い→いい
これはばぐだとはんだんしてよろしいでしょうか？	これはバグだと判断してよろしいでしょうか？	これはバグだと判断してよろしいでしょうか?	punctuation_style
これをつかおうか？	これを使おうか？	これを使おうか?	punctuation_style
これをつかおうなんておもってる？	これを使おうなんて思ってる？	これを使おうなんて思ってる?	punctuation_style
こんきはれぎゅらーないような	今季はレギュラーないような	今季はレギュラー無いような	style:無い→ない
こんなことかいて	こんなこと書いて	こんな事書いて	style:事→こと
こんなところにもくるんだなぁ	こんなところにも来るんだなぁ	こんな所にも来るんだなぁ	style:other
こんなにかわいいのにおとこのこのはずがない	こんなに可愛いのに男の子のはずがない	こんなに可愛いのに男の子のはずが無い	style:無い→ない
こんなのぬげばいい	こんなの脱げばいい	こんなの脱げば良い	style:良い→いい
こんなんでよいのかな？	こんなんで良いのかな？	こんなんで良いのかな?	punctuation_style
ごかくにんください。	ご確認ください。	ご確認下さい。	style:下さい→ください
ごぜんちゅうにはぷれすりりーすがでていたのですが、いつのまにかきえていました	午前中にはプレスリリースが出ていたのですが、いつの間にか消えていました	午前中にはプレスリリースが出ていたのですが,いつの間にか消えていました	punctuation_style
さいしんのあっぷでーとまであげておけば？	最新のアップデートまで上げておけば？	最新のアップデートまで上げておけば?	punctuation_style
さいだいちをもとめるところでいっぱいつかってるようなきがします	最大値を求めるところでいっぱい使ってるような気がします	最大値を求める所でいっぱい使ってるような気がします	style:other
さがみこをすぎたところでみぎがわしゃせんをはしっていた	相模湖を過ぎたところで右側車線を走っていた	相模湖を過ぎた所で右側車線を走っていた	style:other
さんしょうわたしをつかうといろいろややこしいもんだいがおきる	参照渡しを使うと色々ややこしい問題が起きる	参照渡しを使うといろいろややこしい問題が起きる	style:other
さーびすのほうがいいんじゃねーの、とおもいますよ	サービスの方がいいんじゃねーの、と思いますよ	サービスのほうがいいんじゃねーの、と思いますよ	style:方→ほう
ざいりょうがまったくないためうれたんでだいようした	材料が全くないためウレタンで代用した	材料が全く無いためウレタンで代用した	style:無い→ない
ざっしはよまないひとだったっけ？	雑誌は読まない人だったっけ？	雑誌は読まない人だったっけ?	punctuation_style
しおのほうがおいしかったですよ	塩の方が美味しかったですよ	塩の方がおいしかったですよ	style:other
しかしなんかびみょうなよかん	しかしなんか微妙な予感	しかし何か微妙な予感	style:other
しきんじゅようがていちょうなことから	資金需要が低調なことから	資金需要が低調な事から	style:事→こと
しごとのこと	仕事のこと	仕事の事	style:事→こと
しごとのこと	仕事のこと	仕事の事	style:事→こと
しごのことは	死後のことは	死後の事は	style:事→こと
しじょうをくいあうしんぱいはない。	市場を食い合う心配はない。	市場を食い合う心配は無い。	style:無い→ない
しつれいながらもくてきをおたずねしてよろしいでしょうか？	失礼ながら目的をお尋ねしてよろしいでしょうか？	失礼ながら目的をお尋ねしてよろしいでしょうか?	punctuation_style
しゅくじつでしたか？	祝日でしたか？	祝日でしたか?	punctuation_style
しょうぶすべきところでしょうぶする	勝負すべきところで勝負する	勝負すべき所で勝負する	style:other
しょっきだなをおくばしょがないなとおもった	食器棚を置く場所がないなと思った	食器棚を置く場所が無いなと思った	style:無い→ない
しるなしたんたんめんはおいしい	汁無し坦々麺は美味しい	汁無し坦々麺はおいしい	style:other
しるなしたんたんめんをつくれますか？	汁無し坦々麺を作れますか？	汁無し坦々麺を作れますか?	punctuation_style
しんこくにかんがえこむはなしではない	深刻に考え込む話ではない	深刻に考え込む話では無い	style:無い→ない
しんぷるでうつくしくせんれんされたもの	シンプルで美しく洗練されたもの	シンプルで美しく洗練された物	style:物→もの
じかんがない	時間がない	時間が無い	style:無い→ない
じかんのないなかで	時間のない中で	時間の無い中で	style:無い→ない
じぶんでみつけなくてはいみがない	自分で見つけなくては意味がない	自分で見つけなくては意味が無い	style:無い→ない
じぶんのことはべつとしてつぎのばーじょんはだれがつくるんでしょうかね	自分のことは別として次のバージョンは誰が作るんでしょうかね	自分の事は別として次のバージョンは誰が作るんでしょうかね	style:事→こと
じゅうにしちょうなんですか？	十二指腸なんですか？	十二指腸なんですか?	punctuation_style
じゅかいのみつどのこさがわかる	樹海の密度の濃さがわかる	樹海の密度の濃さが分かる	style:分かる→わかる
じょうけんがくうもじれつのものがあるので	条件が空文字列のものがあるので	条件が空文字列の物があるので	style:物→もの
じょうじょうしゃくりょうのよちがない	情状酌量の余地がない	情状酌量の余地が無い	style:無い→ない
じょうじょうするきがないなら	上場する気がないなら	上場する気が無いなら	style:無い→ない
せいじてきやしんはない	政治的野心はない	政治的野心は無い	style:無い→ない
せっせんのときにじぶんのことだとしゅちょうするやつがいる	接戦の時に自分のことだと主張する奴がいる	接戦の時に自分の事だと主張する奴がいる	style:事→こと
ぜんごのないようもきーにするものなどいろいろあります	前後の内容もキーにするものなど色々あります	前後の内容もキーにするものなどいろいろあります	style:other
ぜんたいてきにとういつをおこなったほうがいいでしょう	全体的に統一を行った方がいいでしょう	全体的に統一を行ったほうがいいでしょう	style:方→ほう
そういうはなしはあまりない	そういう話はあまりない	そういう話はあまり無い	style:無い→ない
そういうものをちょくしするのはさけたほうがいい	そういうものを直視するのは避けた方がいい	そういうものを直視するのは避けた方が良い	style:良い→いい
そうおもったところで	そう思ったところで	そう思った所で	style:other
そうかんがえればいい	そう考えればいい	そう考えれば良い	style:良い→いい
そこそこちいさいのでげーむをつくるのにいいかも	そこそこ小さいのでゲームを作るのにいいかも	そこそこ小さいのでゲームを作るのに良いかも	style:良い→いい
そのてのせつびはだいがくにしかないとおもっていました	その手の設備は大学にしかないと思っていました	その手の設備は大学にしか無いと思っていました	style:無い→ない
そのてのわだいはひかえたほうがいいのではありませんか？	その手の話題は控えた方がいいのではありませんか？	その手の話題は控えた方が良いのではありませんか?	style:良い→いい,?→？
そのひをさいこうのえがおでむかえていただくため、	その日を最高の笑顔で迎えていただくため、	その日を最高の笑顔で迎えて頂くため、	style:other
そのもんだいをあつかったことはない	その問題を扱ったことはない	その問題を扱った事はない	style:事→こと
そのようなけつろんがだせるじょうきょうではない	そのような結論が出せる状況ではない	そのような結論が出せる状況では無い	style:無い→ない
それはもうかこのことです	それはもう過去のことです	それはもう過去の事です	style:事→こと
それをなんとかするりそーすはない	それを何とかするリソースはない	それを何とかするリソースは無い	style:無い→ない
そろそろいろいろとやばくなってきた	そろそろいろいろとやばくなってきた	そろそろ色々とやばくなってきた	style:色々→いろいろ
そんなかんたんなげんいんだったのですか？	そんな簡単な原因だったのですか？	そんな簡単な原因だったのですか?	punctuation_style
そんなことができるかなと	そんなことができるかなと	そんな事ができるかなと	style:事→こと
そんなことのないようおねがいします	そんなことのないようお願いします	そんな事の無いようお願いします	style:無い→ない,事→こと
そんなことはないとだんげんしてほしいところですが	そんなことはないと断言してほしいところですが	そんなことは無いと断言してほしいところですが	style:無い→ない
そんなことはまったくないです。	そんなことは全くないです。	そんなことは全く無いです。	style:無い→ない
そんなところだけおーぷんそーすにされてもこまる	そんなところだけオープンソースにされても困る	そんな所だけオープンソースにされても困る	style:other
そんなところでかいぜんがみられてもいみがない	そんなところで改善が見られても意味がない	そんな所で改善が見られても意味が無い	style:無い→ない
そんなところではなくて、	そんなところではなくて、	そんな所ではなくて、	style:other
そんなところにおもしろいものがあるわけでもなし。	そんなところに面白いものがあるわけでもなし。	そんな所に面白い物があるわけでもなし。	style:物→もの
そんなところにこうこくだしてもおれしかみないです	そんなところに広告出しても俺しか見ないです	そんな所に広告出しても俺しか見ないです	style:other
そんなはなしなどきいたことがない	そんな話など聞いたことがない	そんな話など聞いたことが無い	style:無い→ない
たいしたことはないとおもわれるかもしれないが	大したことはないと思われるかもしれないが	大したことは無いと思われるかもしれないが	style:無い→ない
たいとるのものはどうでもよかったんじゃないかというきが	タイトルのものはどうでも良かったんじゃないかという気が	タイトルのものはどうでもよかったんじゃないかという気が	style:良かった→よかった
たいへんしつれいいたしました	大変失礼いたしました	大変失礼致しました	style:other
たすくまねーじゃーをひらいてください	タスクマネージャーを開いてください	タスクマネージャーを開いて下さい	style:下さい→ください
たにんとおなじことをいくらけんめいにやってもいみはない	他人と同じことをいくら懸命にやっても意味はない	他人と同じ事をいくら懸命にやっても意味は無い	style:無い→ない,事→こと
たのしんでいただけましたか？	楽しんでいただけましたか？	楽しんでいただけましたか?	punctuation_style
ちかいもの	近いもの	近い物	style:物→もの
ちょっとすごいところですよ。	ちょっとすごいところですよ。	ちょっとすごい所ですよ。	style:other
つくえにものをおく	机にものを置く	机に物を置く	style:物→もの
つくってもらったものとはけっこうちがいます	作ってもらったものとは結構違います	作ってもらった物とは結構違います	style:物→もの
つごうがつけばでるようにしますがまだわかりません	都合がつけば出るようにしますがまだわかりません	都合がつけば出るようにしますがまだ分かりません	style:分かる→わかる
てれびをおくばしょがないな	テレビを置く場所がないな	テレビを置く場所が無いな	style:無い→ない
でるまくはない	出る幕はない	出る幕は無い	style:無い→ない
でんしゃじこならあるけばいい	電車事故なら歩けばいい	電車事故なら歩けば良い	style:良い→いい
とうけいてきしゅほうをつかうほうめんでいろいろとあたらしいぎじゅつがある	統計的手法を使う方面で色々と新しい技術がある	統計的手法を使う方面でいろいろと新しい技術がある	style:other
とかすもの	溶かすもの	溶かす物	style:物→もの
とくひつすべきてんはほとんどない	特筆すべき点はほとんどない	特筆すべき点はほとんど無い	style:無い→ない
ところかまわず	ところ構わず	所構わず	style:other
ところかわればしなかわる	ところ変われば品変わる	所変われば品変わる	style:other
とてもおいしいです	とても美味しいです	とてもおいしいです	style:other
とてもおいしいです	とても美味しいです	とてもおいしいです	style:other
どうかわったのかな？	どう変わったのかな？	どう変わったのかな?	punctuation_style
どうかんがえればいい	どう考えればいい	どう考えれば良い	style:良い→いい
どうじにしゅうりょうしたのか？	同時に終了したのか？	同時に終了したのか?	punctuation_style
どうじにつかわれることが	同時に使われることが	同時に使われる事が	style:事→こと
どこにいきたいのかな？	どこに行きたいのかな？	どこに行きたいのかな?	punctuation_style
どこまでがほんとうかわかるってもんだ。	どこまでが本当かわかるってもんだ。	どこまでが本当か分かるってもんだ。	style:分かる→わかる
どっかいりょくのないゆとり	読解力のないゆとり	読解力の無いゆとり	style:無い→ない
どっちかがしねばいいのですか？	どっちかが死ねばいいのですか？	どっちかが死ねばいいのですか?	punctuation_style
ないじょうたいに	ない状態に	無い状態に	style:無い→ない
なぜおこっているのかわからない	なぜ怒っているのかわからない	なぜ怒っているのか分からない	style:分かる→わかる
なにがたべられるのかよくわかりません。	何が食べられるのかよくわかりません。	何が食べられるのかよく分かりません。	style:分かる→わかる
なまえはまだない	名前はまだない	名前はまだ無い	style:無い→ない
なまえはまだない	名前はまだない	名前はまだ無い	style:無い→ない
なまでこういうのみるのもいいですよ	生でこういうの見るのもいいですよ	生でこういうの見るのも良いですよ	style:良い→いい
なんいどのさじかげんがわからないらしい	難易度のさじ加減がわからないらしい	難易度のさじ加減が分からないらしい	style:分かる→わかる
なんかいいらのべがあるといいんですけど	なんかいいラノベがあるといいんですけど	何かいいラノベがあるといいんですけど	style:other
なんかいためしてみましたか？	何回試してみましたか？	何回試してみましたか?	punctuation_style
なんかうごきそうですよ	なんか動きそうですよ	何か動きそうですよ	style:other
なんかきたいされているようですが	なんか期待されているようですが	何か期待されているようですが	style:other
なんかさいきんいろんなところでしてるとおもいます	なんか最近いろんなところでしてると思います	何か最近いろんなところでしてると思います	style:other
なんかたのしそうだな	なんか楽しそうだな	何か楽しそうだな	style:other
なんかのぱっけーじの	なんかのパッケージの	何かのパッケージの	style:other
なんかびみょうなわりあてになってる	なんか微妙な割り当てになってる	何か微妙な割り当てになってる	style:other
なんかべつのいみでこわい	なんか別の意味で怖い	何か別の意味で怖い	style:other
なんかほんしつからかけはなれたはなしばかりで	なんか本質からかけ離れた話ばかりで	何か本質からかけ離れた話ばかりで	style:other
なんかむじゅんしてるような	なんか矛盾してるような	何か矛盾してるような	style:other
なんかわからんことがあったらなげてください	なんかわからんことがあったら投げてください	何かわからんことがあったら投げてください	style:other
なんでそんなところにみぶんしょうめいしょがひつようなんだろう	なんでそんなところに身分証明書が必要なんだろう	なんでそんな所に身分証明書が必要なんだろう	style:other
なんとかおわりがみえてきた	何とか終わりが見えてきた	なんとか終わりが見えてきた	style:other
なんのはなしだかわからないかもしれない	なんの話だかわからないかもしれない	なんの話だか分からないかもしれない	style:分かる→わかる
なんらこんきょのないむせきにんなおくそく	何ら根拠のない無責任な憶測	何ら根拠の無い無責任な憶測	style:無い→ない
なんわまでごらんになりました？	何話までご覧になりました？	何話までご覧になりました?	punctuation_style
にほんごじまくはないのです。	日本語字幕はないのです。	日本語字幕は無いのです。	style:無い→ない
ねことはくらしたことないですから、	猫とは暮らしたことないですから、	猫とは暮らしたこと無いですから、	style:無い→ない
ねたにはなりそうにないですな	ネタにはなりそうにないですな	ネタにはなりそうに無いですな	style:無い→ない
ねっとにあくせすできないところ	ネットにアクセスできないところ	ネットにアクセスできない所	style:other
ねておけばよかった	寝ておけばよかった	寝ておけば良かった	style:良かった→よかった
ねむいほうがせんざいのうりょくがはっきされたりしないかな	眠いほうが潜在能力が発揮されたりしないかな	眠い方が潜在能力が発揮されたりしないかな	style:方→ほう
ねんきんせいどについてはふかいぎろんがのぞまれるが、	年金制度については深い議論が望まれるが、	年金制度については深い議論が望まれるが,	punctuation_style
のびのないすとれーとをなげるぴっちゃー	伸びのないストレートを投げるピッチャー	伸びの無いストレートを投げるピッチャー	style:無い→ない
のみかいのあれんじはだれがやるのですか？	飲み会のアレンジは誰がやるのですか？	飲み会のアレンジは誰がやるのですか?	punctuation_style
はいせつぶつのしょりがどうなっているかはわかりません。	排泄物の処理がどうなっているかはわかりません。	排泄物の処理がどうなっているかは分かりません。	style:分かる→わかる
はずれたところにある	外れたところにある	外れた所にある	style:other
はーとがたってどういうこと?	ハート型ってどういうこと?	ハート型ってどういうこと？	punctuation_style
ばすていにいったところ、	バス停に行ったところ、	バス停に行った所、	style:other
ばんごうがかいてあるというじょうほうしかない	番号が書いてあるという情報しかない	番号が書いてあるという情報しか無い	style:無い→ない
ばんめしをかるくくえるところへいかないですか	晩飯を軽く食えるところへ行かないですか	晩飯を軽く食える所へ行かないですか	style:other
ひくいところからのしゃしんかな	低いところからの写真かな	低い所からの写真かな	style:other
ひつようなもの	必要なもの	必要な物	style:物→もの
ひとからしかきふがうけとれないではないか？？	人からしか寄付が受け取れないではないか？？	人からしか寄付が受け取れないではないか??	punctuation_style
ひょうじされるわけではないので	表示されるわけではないので	表示されるわけでは無いので	style:無い→ない
へんこうしなくてもよかったのかなぁというきもします	変更しなくても良かったのかなぁという気もします	変更しなくてもよかったのかなぁという気もします	style:良かった→よかった
べっどをおくばしょがないなぁとおもったらあんのじょう	ベッドを置く場所がないなぁと思ったら案の定	ベッドを置く場所が無いなぁと思ったら案の定	style:無い→ない
ぺんぎんがきょうりゅうだったところまでおもいをはせてください。	ペンギンが恐竜だったところまで思いを馳せてください。	ペンギンが恐竜だった所まで思いを馳せてください。	style:other
ぺんぎんにえいこうあれ！	ペンギンに栄光あれ！	ペンギンに栄光あれ!	punctuation_style
ほとんどないね	ほとんどないね	ほとんど無いね	style:無い→ない
ほんだなをおくばしょがないな	本棚を置く場所がないな	本棚を置く場所が無いな	style:無い→ない
ほんらいおれのすべきことは	本来俺のすべきことは	本来俺のすべき事は	style:事→こと
まいかいおなじじゃないですか？	毎回同じじゃないですか？	毎回同じじゃないですか?	punctuation_style
まいにちだしているわけではないですからねえ	毎日出しているわけではないですからねえ	毎日出しているわけでは無いですからねえ	style:無い→ない
まけたとおもうひつようがないところで	負けたと思う必要がないところで	負けたと思う必要が無い所で	style:無い→ない
みずばかりのんでいたからかな？	水ばかり飲んでいたからかな？	水ばかり飲んでいたからかな?	punctuation_style
みそかつおいしすぎです	味噌カツおいしすぎです	味噌カツ美味しすぎです	style:美味→おいし
みたことないぱたーんにはひくいかくりつをわりあてる	見たことないパターンには低い確率を割り当てる	見たこと無いパターンには低い確率を割り当てる	style:無い→ない
むずかしいこといってる	難しいこと言ってる	難しい事言ってる	style:事→こと
むりなこともためしてみる	無理なことも試してみる	無理な事も試してみる	style:事→こと
めんたーときくとべつのものをおもいうかべる	メンターと聞くと別のものを思い浮かべる	メンターと聞くと別の物を思い浮かべる	style:物→もの
めんどうなことこのうえない。	面倒なことこの上ない。	面倒な事この上ない。	style:事→こと
もうすてられるぎじゅつなのでべつのことをやったほうがよいきがする	もう捨てられる技術なので別のことをやった方が良い気がする	もう捨てられる技術なので別の事をやった方が良い気がする	style:事→こと
もうちょっとてんかいはやくてもよかったですね	もうちょっと展開早くても良かったですね	もうちょっと展開早くてもよかったですね	style:良かった→よかった
もうちょっとようそをおとしてすっきりしてもよかったのかなとおもいます	もうちょっと要素を落としてすっきりしても良かったのかなと思います	もうちょっと要素を落としてすっきりしてもよかったのかなと思います	style:良かった→よかった
もちこみきんしにしてるところもあるな。	持ち込み禁止にしてるところもあるな。	持ち込み禁止にしてる所もあるな。	style:other
もっといいものくえばよい	もっといいもの食えば良い	もっと良い物食えば良い	style:良い→いい,物→もの
もどってきてもいばしょがないばあいがある	戻ってきても居場所がない場合がある	戻ってきても居場所が無い場合がある	style:無い→ない
ものすごいいっぱんてきなことをしゃべってるんですよ	ものすごい一般的なことを喋ってるんですよ	ものすごい一般的な事を喋ってるんですよ	style:事→こと
もののおきばにこまる	ものの置き場に困る	物の置き場に困る	style:物→もの
もんだいがないかかくにんしていただけないでしょうか	問題がないか確認していただけないでしょうか	問題が無いか確認していただけないでしょうか	style:無い→ない
やくしてあるぶぶんもいろいろびみょうのようなきもします	訳してある部分もいろいろ微妙のような気もします	訳してある部分も色々微妙のような気もします	style:色々→いろいろ
やるひつようはない	やる必要はない	やる必要は無い	style:無い→ない
