#
# $ make update_params
# copying: public domain
|uim-fepの|あたらしい|ばーじょん| |uim-fepの|新しい|バージョン|
|いきなり|すきんへっどで|きたら|わだいにするのを|ためらってしまう| |いきなり|スキンヘッドで|来たら|話題にするのを|ためらってしまう|
|いきの|でんしゃ|および|かいしゃで|ねむけと|たたかった| |行きの|電車|及び|会社で|眠気と|戦った|
|いきのこったのは|われわれだけだ| |生き残ったのは|我々だけだ|
|いく| |行く|
|いくらか|てが|だしやすくなった| |いくらか|手が|出しやすくなった|
|いこくの|ちに|ぽつんと|ひとり| |異国の|地に|ぽつんと|一人|
|いしの|うえにも|３ねん| |石の|上にも|3年|
|いしの|うえにも|さんねん| |石の|上にも|三年|
|いしゃが|しょほうせん|だすような|くすりです| |医者が|処方箋|出すような|薬です|
|いじの|わるさに|きょうたんした| |意地の|悪さに|驚嘆した|
|いじょう|よろしく|おねがいします| |以上|よろしく|お願いします|
|いそがしくても|ここだけは|めを|とおしておいてください| |忙しくても|ここだけは|目を|通しておいてください|
|いたんだ|かーどを|こうしんしつつ| |痛んだ|カードを|更新しつつ|
|いちいち|ぐぐらんと|わからん|こゆうめいし|だすな| |いちいち|ググらんと|分からん|固有名詞|出すな|
|いちいち|せんでん|かじょうな|とこだろ| |いちいち|宣伝|過剰な|とこだろ|
|いちおう|いまは|しごと|じかんちゅうです| |一応|今は|仕事|時間中です|
|いちだい|１００どるなのに|へんですね| |一台|100ドルなのに|変ですね|
|いちど|ていたいし|、|そのご|ふっかつしている| |1度|停滞し|、|その後|復活している|
|いちどは|はいぼくを|きっした|みだ| |一度は|敗北を|喫した|身だ|
|いちにち|あたりの|のるまを|きめたら|たっせいできると|おもったが| |一日|あたりの|ノルマを|決めたら|達成できると|思ったが|
|いちにちじゅう|ぐだぐだですね| |一日中|ぐだぐだですね|
|いちやにして|ごみ|やまと|かした| |一夜にして|ゴミ|山と|化した|
|いちを|きめるのが|めんどう| |位置を|決めるのが|面倒|
|いっけん|きちんと|どうさしているように|みえて| |一見|きちんと|動作しているように|見えて|
|いっしゅん|たちどまって|ぼくの|ほうを|みた| |一瞬|立ち止まって|僕の|方を|見た|
|いっしょに|いく|よていの|ひとが|うごいてくれなくて|こまる| |一緒に|行く|予定の|人が|動いてくれなくて|困る|
|いったら|いい| |行ったら|いい|
|いってくる| |行ってくる|
|いっぱい|れいぶんを|ふやしている| |いっぱい|例文を|増やしている|
|いっぱんてきな|せきゅりてぃ|たいさくは|きちんと|やっとけ| |一般的な|セキュリティ|対策は|きちんと|やっとけ|
|いつ|うかがおうか|まよう|ところでしたが| |いつ|伺おうか|迷う|所でしたが|
|いつか|できるようになるとは|おもってたが| |いつか|できるようになるとは|思ってたが|
|いつから|じょうきょうする|よていですか|？| |いつから|上京する|予定ですか|?|
|いつでも|ねてそう| |いつでも|寝てそう|
|いつのまにか|そばに|きて|うれしそうに| |いつの間にか|そばに|来て|うれしそうに|
|いつまで|こんな|ちょうしなんだろう| |いつまで|こんな|調子なんだろう|
|いつも|いってるといわれても|きょうが|しょたいめんでしょう| |いつも|言ってるといわれても|今日が|初対面でしょう|
|いつも|どこかで|はっせいしているのだろう| |いつも|どこかで|発生しているのだろう|
|いでんが|げんいんな|きがします| |遺伝が|原因な|気がします|
|いどうの|さいの|はそんが|げんいんでした| |移動の|際の|破損が|原因でした|
|いま|いじった|ぶんせつの|みぎがわを|へんしゅうする| |今|いじった|文節の|右側を|編集する|
|いまいち|できが|よくない| |いまいち|できが|良くない|
|いまから|さんか| |今から|参加|
|いまだに|べんきょうかいに|いけてないのですが| |未だに|勉強会に|行けてないのですが|
|いまでは|まさしく|でんせつの|げーむと|かしています| |今では|まさしく|伝説の|ゲームと|化しています|
|いまどき|そんな|やりかたでは|だめだ| |今時|そんな|やり方では|ダメだ|
|いまの|じょうきょうだと|するーするしかないですね| |今の|状況だと|スルーするしかないですね|
|いまは|こてんてきな|しゅほうを|つかっているのですが| |今は|古典的な|手法を|使っているのですが|
|いまは|みまもる|たちばに|なったけど| |今は|見守る|立場に|なったけど|
|いままで|りりーすした|なかでも|さいこうの|せいのうだと|おもいます| |今まで|リリースした|中でも|最高の|性能だと|思います|
|いままでの|やりかただと|、|はんだんの|いっかんせいを|たもつのが|むずかしい| |今までの|やり方だと|、|判断の|一貫性を|保つのが|難しい|
|いみふめいな|ふくそうしている| |意味不明な|服装している|
|いやされに|いく| |癒されに|行く|
|いやそうな|かおを|する| |嫌そうな|顔を|する|
|いりょう|みす| |医療|ミス|
|いるのか|いらんのか|わからん|きかくに|たいおうさせようとして|くろうしていた| |要るのか|要らんのか|分からん|規格に|対応させようとして|苦労していた|
|いれなおしたいけど| |入れ直したいけど|
|いろいろ|こうさつできたことを|かんしゃしつつ| |いろいろ|考察できたことを|感謝しつつ|
|いろいろな|ひとが|きそうで|たのしみです| |いろいろな|人が|来そうで|楽しみです|
|いわてから|ほっかいどうに|かけて|ゆれたようです| |岩手から|北海道に|かけて|揺れたようです|
|いんすたんと|ここあって|けっこう|かろりー|たかいんだ| |インスタント|ココアって|結構|カロリー|高いんだ|
|うーろんちゃに|ふくまれる|せいぶんです| |ウーロン茶に|含まれる|成分です|
|うーろんちゃを|のむ| |ウーロン茶を|飲む|
|うぃーで|ねっと|やりたいというだけで|むせん|るーたー|かってきた| |Wiiで|ネット|やりたいというだけで|無線|ルーター|買ってきた|
|ういぐる|じんの|しりあい| |ウイグル|人の|知り合い|
|うごかないか|かくにんする| |動かないか|確認する|
|うごきまわられては|こまる| |動き回られては|困る|
|うごくだろ| |動くだろ|
|うしろで|ていぎされた|かんすうの|よびだし| |後ろで|定義された|関数の|呼び出し|
|うたごえを|きく| |歌声を|聞く|
|うたれてるの|すとれーとばっかり| |打たれてるの|ストレートばっかり|
|うちが|しんげんに|いちばん|ちかかった| |うちが|震源に|一番|近かった|
|うちきり|ごに|きせきの|ふっかつを|とげた| |打ち切り|後に|奇跡の|復活を|遂げた|
|うちこむ| |打ち込む|
|うちの|ねこよりも|かわいい| |うちの|猫よりも|かわいい|
|うっすらと|ひげが|はえている| |うっすらと|髭が|生えている|
|うどんより|そばが|すき| |うどんより|そばが|好き|
|うまいんか|まずいんか|わからなくなってくる| |上手いんか|不味いんか|判らなくなってくる|
|うまく|いかない|ばあいが|あるそうだし| |うまく|いかない|場合が|あるそうだし|
|うまく|いかないので|たいさくなどを|けんとうしてください| |うまく|いかないので|対策などを|検討してください|
|うまく|いきそうな|ほうほうを|ていじしてください| |うまく|いきそうな|方法を|提示してください|
|うまく|かんせいしたので| |うまく|完成したので|
|うみに|きている| |海に|来ている|
|うみの|たのしみかたは|ひと|それぞれです| |海の|楽しみ方は|人|それぞれです|
|うみの|みえる|おんせんやどに|とまりたい| |海の|見える|温泉宿に|泊まりたい|
|うんてんせき|がわ| |運転席|側|
|うんどうぶそくが|はげしい| |運動不足が|激しい|
|えいがが|はじまる|ころに|にほんに|いないのが|ざんねん| |映画が|始まる|頃に|日本に|いないのが|残念|
|えいきょうを|けしさろうとした| |影響を|消し去ろうとした|
|えいごりょく|あっぷの|かぎは|ここに|ある| |英語力|アップの|鍵は|ここに|ある|
|えいごを|いかせる|しごと| |英語を|活かせる|仕事|
|えきの|こっち|がわに|すんでいる| |駅の|こっち|側に|住んでいる|
|えものを|かりにいく| |獲物を|狩りにいく|
|えることが|できる| |得ることが|できる|
|えろ|すぱむでも|れいぶんに|つかおうか| |エロ|スパムでも|例文に|使おうか|
|えろ|すぱむの|ぶんめんを|すべて|こーぱすに|とうにゅうしてやろうかと|おもった| |エロ|スパムの|文面を|すべて|コーパスに|投入してやろうかと|思った|
|えんざんしの|ばぐ|しゅうせい| |演算子の|バグ|修正|
|えんぜつは|きいたこと|あるけど|あたま|わるいと|おもった| |演説は|聞いたこと|あるけど|頭|悪いと|思った|
|おーすとらりあとかでは|すでに|はつばいされているのだろうか| |オーストラリアとかでは|既に|発売されているのだろうか|
|おあいした|ひとの|かおと|なまえが|いっちしない| |お会いした|人の|顔と|名前が|一致しない|
|おいしく|のめる|すっきり|したて| |おいしく|飲める|すっきり|仕立て|
|おいしさを|そこなわないように|くふうする| |おいしさを|損なわないように|工夫する|
|おいしそうな|はなし| |美味しそうな|話|
|おうおうにして|うまく|いかない| |往々にして|うまく|いかない|
|おおがかりな|すとーりーの|ない|はなしを|てきとうに|やる| |大がかりな|ストーリーの|無い|話を|適当に|やる|
|おおきい|さいずで|ためしたら|しっぱいした| |大きい|サイズで|試したら|失敗した|
|おおきさから|すると| |大きさから|すると|
|おおさかに|かえる| |大阪に|帰る|
|おかげで|へやに|もどる|きがしなくなって|ひきこもらずに|すんでいます| |おかげで|部屋に|戻る|気がしなくなって|ひきこもらずに|すんでいます|
|おかねは|いっさい|せいきゅうしません| |お金は|一切|請求しません|
|おかもと| |岡本|
|おくそくの|ただしさを|しょうめいしてしまった| |憶測の|正しさを|証明してしまった|
|おくればせながら|あたらしいのを|かいました| |遅ればせながら|新しいのを|買いました|
|おこなう|きのうも|じつげんしています| |行う|機能も|実現しています|
|おさない|ころには|えびと|へびの|くべつが|ついていなかった| |幼い|頃には|エビと|蛇の|区別が|付いていなかった|
|おさないと| |押さないと|
|おしえてくださる| |教えてくださる|
|おしょくじの|あとで|すこし|おはなしできませんか|？| |お食事の|後で|少し|お話できませんか|?|
|おそらく|いろんな|かたが|さんしょうしているとは|おもいますが| |おそらく|いろんな|方が|参照しているとは|思いますが|
|おそるべき|けんこうしんだんによって|にゅうしゃ|いちにちめから|びょういん|おくり| |恐るべき|健康診断によって|入社|一日目から|病院|送り|
|おだいの|はんいで|かんがえるべきでしょうか| |お題の|範囲で|考えるべきでしょうか|
|おっとへの|にくしみから|うみおとした|こを|とおざける| |夫への|憎しみから|産み落とした|子を|遠ざける|
|おつかいの|ぱそこんの|ひづけの|せっていによっては|りようできません| |お使いの|パソコンの|日付の|設定によっては|利用できません|
|おてすうでなければ|それで|おねがいします| |お手数でなければ|それで|お願いします|
|おてすうなら|べつに|かまわないです| |お手数なら|別に|かまわないです|
|おとこは|しばらくの|あいだ|ぽかんと|くちを|あけて| |男は|しばらくの|間|ポカンと|口を|開けて|
|おとなしく|いえに|かえることにします| |おとなしく|家に|帰ることにします|
|おとりこみちゅう|しつれいします| |お取り込み中|失礼します|
|おどかしすぎだったかな| |脅かしすぎだったかな|
|おどされての|ことだった| |脅されての|事だった|
|おどり|かたが|わからない| |踊り|方が|わからない|
|おなじ|きょうぐうの|ひとを| |同じ|境遇の|人を|
|おなじ|こんざつだと|ふくが|ぶつかる| |同じ|混雑だと|服が|ぶつかる|
|おなじ|せかいに|そんざいできない| |同じ|世界に|存在できない|
|おなじ|もの| |同じ|物|
|おまえも|そのうち|りかいするだろう| |お前も|そのうち|理解するだろう|
|おまえら|どっちも|あほだな| |お前ら|どっちも|アホだな|
|おもいちがいしてた| |思い違いしてた|
|おもうが| |思うが|
|おもうしで|いただける|きかんは|１ねんかんです| |お申し出|いただける|期間は|１年間です|
|おもえ| |思え|
|おもしろい|ていあん|きませんねえ| |面白い|提案|来ませんねえ|
|おもしろかった|ばんぐみが|たくさん|おわってしまった| |面白かった|番組が|たくさん|終わってしまった|
|おもしろければ|なんでも|あり| |面白ければ|何でも|あり|
|おもったより|みじかくて|おどろいた| |思ったより|短くて|驚いた|
|おもったよりも|こんでいて| |思ったよりも|混んでいて|
|おもっていた|ほど|やすくは|ならなかった| |思っていた|ほど|安くは|ならなかった|
|おもてむきは|そういうことに|なっているけど|なかみが|ともなってない| |表向きは|そういう事に|なっているけど|中身が|伴ってない|
|おやきょうだいの|たんじょうびすら|しらない| |親兄弟の|誕生日すら|知らない|
|おやつを|くいすぎている| |おやつを|食いすぎている|
|おゆを|そそぐだけというのでも|てまだ| |お湯を|注ぐだけというのでも|手間だ|
|おりたたんでください| |折り畳んでください|
|おりる|ほうが|あっとうてきに|らくだ| |降りる|方が|圧倒的に|楽だ|
|おれ|この|しごとが|おわったら|こきょうに|かえるんだ| |俺|この|仕事が|終わったら|故郷に|帰るんだ|
|おれたちの|そうじは|まだ|はじまったばかりだ| |俺たちの|掃除は|まだ|始まったばかりだ|
|おれだって|むかしは|すなおだった| |俺だって|昔は|素直だった|
|おれの|となりで|ねてるよ| |俺の|隣で|寝てるよ|
|おれは|きぜつしやすい| |俺は|気絶しやすい|
|おわってる| |終わってる|
|おんがく|そふとを|いれたいんだけど| |音楽|ソフトを|入れたいんだけど|
|おんがくを|きく| |音楽を|聞く|
|おんしゃの|たんとうの|かたから|れんらくを|いただきました| |御社の|担当の|方から|連絡を|いただきました|
|おんせんで|つめを|といで|きました| |温泉で|爪を|研いできました|
|おんせんやどの|そしなに|つめきりを|もらった| |温泉宿の|粗品に|爪切りを|貰った|
|おんなのこよりも|りゅうがくせいの|ほうが|おおい| |女の子よりも|留学生の|方が|多い|
|かーどを|みずに|せんげんする| |カードを|見ずに|宣言する|
|かいいんの|みなさまへ| |会員の|皆様へ|
|かいさん|こんさーとに|きて|ぶーいんぐするとか|あほだ| |解散|コンサートに|きて|ブーイングするとか|アホだ|
|かいしから|にしゅうかんぐらい|たちますが| |開始から|二週間ぐらい|たちますが|
|かいしゃが|かろうしさせてしまったと|かんがえることも|できそう| |会社が|過労死させてしまったと|考えることも|できそう|
|かいしゃで|みると|てんしょく|あんないが|でてきて|きまずい| |会社で|見ると|転職|案内が|出てきて|気まずい|
|かいしゃに|いくことが|できない| |会社に|行くことが|できない|
|かいしゃに|いったら|なんて|いいわけしよう| |会社に|言ったら|何て|言い訳しよう|
|かいせんが|ほそいですねえ| |回線が|細いですねえ|
|かいぜんしたい|てんは|いくつも|あるのだが| |改善したい|点は|いくつも|あるのだが|
|かいた|ひとが|みとめた| |書いた|人が|認めた|
|かいはつした|ひとたちの|くろうを|かんがえたら|つかわない|ほうが|そんな|きがする| |開発した|人たちの|苦労を|考えたら|使わない|方が|損な|気がする|
|かいはつたいせいの|かくりつ| |開発体制の|確立|
|かいはつたいせいの|こうぼうに|ついて|ぎろんする| |開発体制の|興亡に|ついて|議論する|
|かいはつちゅうの|ものに|あんいに|てを|ださないようにする| |開発中の|物に|安易に|手を|出さないようにする|
|かいはつもとに|そうふすることも|けんとうしてください| |開発元に|送付することも|検討してください|
|かう| |買う|
|かえりの|でんしゃの|なかで|いろいろと|おしえてもらった| |帰りの|電車の|中で|いろいろと|教えてもらった|
|かおにだけ|かきわすれた| |顔にだけ|書き忘れた|
|かがみを|もってた| |鏡を|持ってた|
|かきの|さいとにて|じょうほう|かくにん| |下記の|サイトにて|情報|確認|
|かぎあなを|みつけるのに|くろうした| |鍵穴を|見つけるのに|苦労した|
|かく|こうほに|ついて| |各|候補に|ついて|
|かく|しゅつげん|ばしょを|すきゃんする| |各|出現|場所を|スキャンする|
|かく|たんとうしゃ| |各|担当者|
|かく|ぶんせつ|ごとに| |各|文節|毎に|
|かく|ゆーざが|にほんごの|せっていにしないといけない| |各|ユーザが|日本語の|設定にしないといけない|
|かくさんする| |拡散する|
|かくじつに|むりだ|、|ありえない| |確実に|無理だ|、|ありえない|
|かくとうものの|まんがだと|かいしゃくすれば|いいですか| |格闘物の|漫画だと|解釈すれば|良いですか|
|かくりつが|せいかくになる| |確率が|正確になる|
|かくりつの|てーぶる| |確率の|テーブル|
|かくりつの|ひくい|ところに|てきとうに|わりあてたら|だいぶ|あほになった| |確率の|低い|ところに|適当に|割り当てたら|だいぶ|アホになった|
|かぐの|すきまとか|せまい|ところに|このんで|はいっていきますよね| |家具の|すき間とか|狭い|所に|好んで|入っていきますよね|
|かこの|とらうまを|かいもので|かいしょうしてこよう| |過去の|トラウマを|買い物で|解消してこよう|
|かざふすたん|じん| |カザフスタン|人|
|かした|かねが|かえってこない| |貸した|金が|帰ってこない|
|かぜ|ひいて|びみょうに|のどが|いたい| |風邪|ひいて|微妙に|喉が|いたい|
|かぜ|ひきしょうな|じょうきょう| |風邪|引きそうな|状況|
|かぜまで|やつの|みかたを|する| |風まで|奴の|味方を|する|
|かそうか|ぎじゅつの|たようかに|ついていけない| |仮想化|技術の|多様化に|ついていけない|
|かた|すいろんが|こんなんになる| |型|推論が|困難になる|
|かたくなに|きょひする| |頑なに|拒否する|
|かたちを|していた| |形を|していた|
|かたづけるの|めんどう| |片付けるの|面倒|
|かっこで|かこまれた|はんいが|しょりの|たいしょうとなります| |カッコで|囲まれた|範囲が|処理の|対象となります|
|かった|えものの|ほねを|そうしょくひんとして|みに|つける| |狩った|獲物の|骨を|装飾品として|身に|付ける|
|かってに|ひとの|いえに|はいった| |勝手に|人の|家に|入った|
|かつようけいを|はんていする|ほうほうを|かんがえる| |活用形を|判定する|方法を|考える|
|かならず|かいふうして|およみ|ください| |必ず|開封して|お読み|ください|
|かなり|とくしゅな|にほんごを|かくのも|げんいんかもしれません| |かなり|特殊な|日本語を|書くのも|原因かもしれません|
|かなり|まえから|ほかのに|まけるような|じょうきょうではなかった| |かなり|前から|他のに|負けるような|状況ではなかった|
|かね|とっても|なっとくするような|もの| |金|取っても|納得するような|物|
|かのじょの|こえは|こんなのだったのか| |彼女の|声は|こんなのだったのか|
|かばんの|なか| |鞄の|中|
|かまえよ| |構えよ|
|かみに|なまえを|かく| |紙に|名前を|書く|
|からむ|きかいが|ない| |絡む|機会が|ない|
|かり|つくす|きで| |狩り|尽くす|気で|
|かりに|じぶんが|てんいんとして|、|そんな|じょうきょうになれば|にげる| |仮に|自分が|店員として|、|そんな|状況になれば|逃げる|
|かれー|いっしゅうかんぶんぐらいできる| |カレー|一週間分ぐらいできる|
|かれー|くいたいけど|きんじょに|みせ|あるかな| |カレー|食いたいけど|近所に|店|あるかな|
|かれーが|すきな|ぷろぐらま| |カレーが|好きな|プログラマ|
|かれーに|あう|のみもの| |カレーに|合う|飲み物|
|かれーの|はなしぐらいしか|よんでないですね| |カレーの|話ぐらいしか|読んでないですね|
|かれが|しゅじんこうなのは|へんだ| |彼が|主人公なのは|変だ|
|かれが|まにあだということを|かくす|しゅだんである| |彼が|マニアだということを|隠す|手段である|
|かれこそ|しんぱいだ| |彼こそ|心配だ|
|かれには|わたしの|かたうでとして|はたらいてもらいます| |彼には|私の|片腕として|働いてもらいます|
|かれによると|だいぶ|ふそくしているようです| |彼によると|だいぶ|不足しているようです|
|かれの|めが|わるい| |彼の|目が|悪い|
|かれは|ほんの|すうふんで|かだいを|おえた| |彼は|ほんの|数分で|課題を|終えた|
|かれは|めが|わるい| |彼は|目が|悪い|
|かれへは|わたしが|つたえておきます| |彼へは|私が|伝えておきます|
|かれまで|とどけてください| |彼まで|届けてください|
|かれも|また|おもわず|めを|そらした| |彼も|また|思わず|目を|そらした|
|かんがえてみては|いかがでしょうか| |考えてみては|いかがでしょうか|
|かんがえられない| |考えられない|
|かんけい| |関係|
|かんこうしようかなと|おもって| |観光しようかなと|思って|
|かんさい| |関西|
|かんじょうせんを|そのまま|ほくじょうしてください| |環状線を|そのまま|北上してください|
|かんすうがたらしい|げーむ|ぷろぐらみんぐを|けんとうする| |関数型らしい|ゲーム|プログラミングを|検討する|
|かんせいは|ちかい| |完成は|近い|
|かんぜんに|いんしょう|ろんで|かたっていますが| |完全に|印象|論で|語っていますが|
|かんたんな|はなし| |簡単な|話|
|かんたんにできたと|おもうなよ| |簡単にできたと|思うなよ|
|かんま|くぎりなど| |カンマ|区切りなど|
|かんりにんのみ|ついかできる| |管理人のみ|追加できる|
|がいして|さかなに|まいなすとなる| |概して|魚に|マイナスとなる|
|がくせいに|かいはつしてもらった|せいかを|とりこんだ| |学生に|開発してもらった|成果を|取り込んだ|
|がくせいの|かたは|そちらでの|おうぼも|けんとうしていただけると|さいわいです| |学生の|方は|そちらでの|応募も|検討していただけると|幸いです|
|がくせいは|もう|なつやすみなのか| |学生は|もう|夏休みなのか|
|がっかい|はっぴょうと|かさなっているんですよね| |学会|発表と|重なっているんですよね|
|がっこうでは|ない| |学校では|無い|
|がっこうでは|ない|きがした| |学校では|無い|気がした|
|がっこうに|いきそうだけど| |学校に|行きそうだけど|
|がっこうに|いきそうな|きがする| |学校に|行きそうな|気がする|
|がっこうへ|いったり|いかなかったり| |学校へ|行ったり|行かなかったり|
|がぶのみするような|しゅるいの|さけではない| |がぶ飲みするような|種類の|酒ではない|
|がめん| |画面|
|がめんへの|もじ|びょうがって|どうやるのが|さいてきなのだろう| |画面への|文字|描画って|どうやるのが|最適なのだろう|
